0.00,43.00,45.00,247.00,266.00,21.00,0.00,0.00,0.00,0.00:0
0.00,83.00,99.00,104.00,149.00,21.00,0.00,0.00,0.00,0.00:3
0.00,42.00,121.00,154.00,249.00,20.00,0.00,0.00,0.00,0.00:0
0.00,112.00,145.00,107.00,59.00,20.00,0.00,0.00,0.00,0.00:3
0.00,68.00,82.00,101.00,156.00,20.00,0.00,0.00,0.00,0.00:0
0.00,45.00,114.00,240.00,256.00,20.00,0.00,0.00,0.00,0.00:0
0.00,85.00,97.00,38.00,77.00,20.00,0.00,0.00,0.00,0.00:3
0.00,43.00,109.00,150.00,97.00,20.00,0.00,0.00,0.00,0.00:0
0.00,99.00,110.00,39.00,74.00,20.00,0.00,0.00,0.00,0.00:3
0.00,42.00,56.00,153.00,252.00,20.00,0.00,0.00,0.00,0.00:0
0.00,101.00,98.00,99.00,193.00,21.00,0.00,0.00,0.00,0.00:3
0.00,49.00,111.00,154.00,95.00,20.00,0.00,0.00,0.00,0.00:0
0.00,84.00,95.00,39.00,43.00,20.00,0.00,0.00,0.00,0.00:3
0.00,44.00,117.00,237.00,251.00,20.00,0.00,0.00,0.00,0.00:0
0.00,97.00,94.00,99.00,201.00,21.00,0.00,0.00,0.00,0.00:3
0.00,45.00,111.00,184.00,250.00,20.00,0.00,0.00,0.00,0.00:0
0.00,98.00,96.00,97.00,82.00,21.00,0.00,0.00,0.00,0.00:3
0.00,45.00,111.00,177.00,252.00,20.00,0.00,0.00,0.00,0.00:0
0.00,98.00,94.00,96.00,56.00,20.00,0.00,0.00,0.00,0.00:3
0.00,43.00,44.00,238.00,307.00,20.00,0.00,0.00,0.00,0.00:0
0.00,96.00,61.00,62.00,78.00,20.00,0.00,0.00,0.00,0.00:3
0.00,47.00,49.00,191.00,253.00,21.00,0.00,0.00,0.00,0.00:0
