0.00,101.00,165.00,170.00,23.00,0.00,0.00,0.00,0.00:0
0.00,102.00,95.00,97.00,68.00,0.00,0.00,0.00,0.00:2
0.00,92.00,97.00,278.00,65.00,0.00,0.00,0.00,0.00:0
0.00,66.00,315.00,224.00,36.00,0.00,0.00,0.00,0.00:0
0.00,55.00,60.00,191.00,300.00,0.00,0.00,0.00,0.00:2
0.00,278.00,58.00,56.00,79.00,0.00,0.00,0.00,0.00:0
0.00,55.00,59.00,197.00,42.00,0.00,0.00,0.00,0.00:2
0.00,55.00,47.00,44.00,46.00,0.00,0.00,0.00,0.00:0
0.00,120.00,26.00,22.00,55.00,0.00,0.00,0.00,0.00:1
0.00,75.00,172.00,175.00,21.00,0.00,0.00,0.00,0.00:0
0.00,61.00,65.00,143.00,150.00,0.00,0.00,0.00,0.00:2
0.00,147.00,0.00,47.00,202.00,0.00,0.00,0.00,0.00:0
0.00,77.00,112.00,29.00,19.00,0.00,0.00,0.00,0.00:0
0.00,57.00,69.00,187.00,73.00,0.00,0.00,0.00,0.00:2
0.00,185.00,73.00,34.00,165.00,0.00,0.00,0.00,0.00:0
0.00,174.00,62.00,5.00,242.00,0.00,0.00,0.00,0.00:3
0.00,58.00,178.00,3.00,241.00,0.00,0.00,0.00,0.00:4
0.00,73.00,63.00,29.00,235.00,0.00,0.00,0.00,0.00:3
0.00,75.00,34.00,34.00,234.00,0.00,0.00,0.00,0.00:1
0.00,172.00,214.00,207.00,49.00,0.00,0.00,0.00,0.00:0
0.00,89.00,88.00,162.00,43.00,0.00,0.00,0.00,0.00:2
0.00,0.00,164.00,181.00,42.00,0.00,0.00,0.00,0.00:0
0.00,81.00,78.00,85.00,69.00,0.00,0.00,0.00,0.00:2
0.00,83.00,97.00,292.00,32.00,0.00,0.00,0.00,0.00:0
0.00,75.00,253.00,252.00,29.00,0.00,0.00,0.00,0.00:0
0.00,186.00,175.00,177.00,71.00,0.00,0.00,0.00,0.00:2
0.00,274.00,272.00,47.00,274.00,0.00,0.00,0.00,0.00:0
0.00,66.00,70.00,113.00,30.00,0.00,0.00,0.00,0.00:0
0.00,61.00,66.00,182.00,34.00,0.00,0.00,0.00,0.00:0
0.00,55.00,58.00,97.00,295.00,0.00,0.00,0.00,0.00:2
0.00,97.00,182.00,53.00,82.00,0.00,0.00,0.00,0.00:0
0.00,68.00,71.00,39.00,28.00,0.00,0.00,0.00,0.00:0
0.00,53.00,63.00,188.00,69.00,0.00,0.00,0.00,0.00:2
0.00,190.00,239.00,47.00,164.00,0.00,0.00,0.00,0.00:0
0.00,167.00,170.00,169.00,23.00,0.00,0.00,0.00,0.00:0
0.00,83.00,284.00,143.00,33.00,0.00,0.00,0.00,0.00:0
0.00,52.00,55.00,116.00,134.00,0.00,0.00,0.00,0.00:2
0.00,114.00,135.00,50.00,0.00,0.00,0.00,0.00,0.00:0
0.00,69.00,77.00,321.00,34.00,0.00,0.00,0.00,0.00:0
0.00,49.00,285.00,199.00,309.00,0.00,0.00,0.00,0.00:2
0.00,196.00,293.00,56.00,61.00,0.00,0.00,0.00,0.00:0
0.00,49.00,200.00,58.00,49.00,0.00,0.00,0.00,0.00:2
0.00,62.00,56.00,53.00,52.00,0.00,0.00,0.00,0.00:0
0.00,58.00,57.00,76.00,60.00,0.00,0.00,0.00,0.00:2
0.00,73.00,59.00,251.00,42.00,0.00,0.00,0.00,0.00:0
0.00,53.00,57.00,50.00,42.00,0.00,0.00,0.00,0.00:0
0.00,55.00,65.00,190.00,52.00,0.00,0.00,0.00,0.00:2
0.00,187.00,56.00,53.00,169.00,0.00,0.00,0.00,0.00:0
0.00,112.00,169.00,32.00,22.00,0.00,0.00,0.00,0.00:0
0.00,161.00,281.00,143.00,28.00,0.00,0.00,0.00,0.00:0
0.00,60.00,254.00,118.00,75.00,0.00,0.00,0.00,0.00:2
0.00,112.00,118.00,143.00,61.00,0.00,0.00,0.00,0.00:0
0.00,49.00,51.00,316.00,55.00,0.00,0.00,0.00,0.00:2
0.00,313.00,58.00,56.00,55.00,0.00,0.00,0.00,0.00:0
0.00,243.00,61.00,250.00,67.00,0.00,0.00,0.00,0.00:2
0.00,250.00,249.00,76.00,79.00,0.00,0.00,0.00,0.00:0
0.00,56.00,61.00,44.00,37.00,0.00,0.00,0.00,0.00:0
0.00,57.00,62.00,94.00,50.00,0.00,0.00,0.00,0.00:2
0.00,92.00,57.00,51.00,208.00,0.00,0.00,0.00,0.00:0
